date,total_admissions,total_deaths,avg_icu_utilization,avg_bed_occupancy,year,month,day_of_week,is_weekend,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,rolling_std_7
2021-09-07,11436.0,1549.0,0.7628884327138308,0.7233123581324954,2021,9,1,0,11008.0,12936.0,13092.0,11948.42857142857,12151.214285714286,816.112912356092
2021-09-08,12452.0,1514.0,0.7717988231354973,0.7459245957399326,2021,9,2,0,11436.0,13076.0,12740.0,11859.285714285714,12130.642857142857,697.9473987548259
2021-09-09,12264.0,1508.0,0.7783960519039547,0.7562914704005805,2021,9,3,0,12452.0,12825.0,13058.0,11779.142857142857,12073.92857142857,592.8761614850097
2021-09-10,11787.0,1689.0,0.7805431103064739,0.7541367885819069,2021,9,4,0,12264.0,12057.0,12802.0,11740.57142857143,12001.42857142857,580.4388733659575
2021-09-11,11260.0,1701.0,0.7736876449851411,0.7364778496730557,2021,9,5,1,11787.0,12157.0,12308.0,11612.42857142857,11926.57142857143,572.1374709930664
2021-09-12,10132.0,1559.0,0.7607864966391307,0.7256501287814928,2021,9,6,1,11260.0,11080.0,11244.0,11477.0,11847.142857142857,789.9208821141875
2021-09-13,10187.0,1579.0,0.7716951599923133,0.7293166407804976,2021,9,0,0,10132.0,11008.0,11390.0,11359.714285714286,11761.214285714286,921.2036897968297
2021-09-14,11192.0,1634.0,0.7881834998681355,0.7511219135353774,2021,9,1,0,10187.0,11436.0,12936.0,11324.857142857143,11636.642857142857,922.4515215033606
2021-09-15,10870.0,1585.0,0.7920877009897969,0.7588064689356261,2021,9,2,0,11192.0,12452.0,13076.0,11098.857142857143,11479.07142857143,783.6254267976915
2021-09-16,10867.0,1602.0,0.7891668261156028,0.7592184311992334,2021,9,3,0,10870.0,12264.0,12825.0,10899.285714285714,11339.214285714286,591.8630794043149
2021-09-17,10326.0,1493.0,0.7910960835325166,0.7546562108826059,2021,9,4,0,10867.0,11787.0,12057.0,10690.57142857143,11215.57142857143,472.1404653783359
2021-09-18,9918.0,1505.0,0.771817947423006,0.7317021599649002,2021,9,5,1,10326.0,11260.0,12157.0,10498.857142857143,11055.642857142857,474.83977247473814
2021-09-19,8776.0,1393.0,0.7547958159635884,0.7208445399770089,2021,9,6,1,9918.0,10132.0,11080.0,10305.142857142857,10891.07142857143,808.6833802693488
2021-09-20,8644.0,1545.0,0.7630635203278427,0.7270780272395674,2021,9,0,0,8776.0,10187.0,11008.0,10084.714285714286,10722.214285714286,1027.061295523278
2021-09-21,9831.0,1503.0,0.7799114896658188,0.7476749334245143,2021,9,1,0,8644.0,11192.0,11436.0,9890.285714285714,10607.57142857143,903.9544078263125
2021-09-22,9645.0,1487.0,0.7814224341885235,0.7576480136517153,2021,9,2,0,9831.0,10870.0,12452.0,9715.285714285714,10407.07142857143,794.643675762047
2021-09-23,9274.0,1456.0,0.7842602859571595,0.7552724198155316,2021,9,3,0,9645.0,10867.0,12264.0,9487.714285714286,10193.5,618.4008177780937
2021-09-24,8950.0,1388.0,0.7862980699997947,0.749109570168035,2021,9,4,0,9274.0,10326.0,11787.0,9291.142857142857,9990.857142857143,518.0812126078154
2021-09-25,8457.0,1406.0,0.7654670640417273,0.7309526419379547,2021,9,5,1,8950.0,9918.0,11260.0,9082.42857142857,9790.642857142857,517.7453869561035
2021-09-26,7486.0,1239.0,0.7538926249892268,0.7177662751213276,2021,9,6,1,8457.0,8776.0,10132.0,8898.142857142857,9601.642857142857,798.4692497881058
2021-09-27,7339.0,1411.0,0.7539631000791914,0.72181969878156,2021,9,0,0,7486.0,8644.0,10187.0,8711.714285714286,9398.214285714286,995.6879889948497
2021-09-28,8583.0,1333.0,0.7797861421124526,0.7457257600782606,2021,9,1,0,7339.0,9831.0,11192.0,8533.42857142857,9211.857142857143,865.0273323510193
2021-09-29,8196.0,1341.0,0.7787448117766551,0.7563987498223816,2021,9,2,0,8583.0,9645.0,10870.0,8326.42857142857,9020.857142857143,715.0708256629676
2021-09-30,7948.0,1346.0,0.7795683528023958,0.7532750391982114,2021,9,3,0,8196.0,9274.0,10867.0,8137.0,8812.357142857143,586.2439765149239
2021-10-01,7829.0,1186.0,0.7698166134048263,0.7445289090746691,2021,10,4,0,7948.0,8950.0,10326.0,7976.857142857143,8634.0,468.41343155077413
2021-10-02,7338.0,1175.0,0.7606300287475318,0.7265411318071716,2021,10,5,1,7829.0,8457.0,9918.0,7817.0,8449.714285714286,468.18586052979776
2021-10-03,6502.0,1164.0,0.744756165573366,0.7155404845747255,2021,10,6,1,7338.0,7486.0,8776.0,7676.428571428572,8287.285714285714,682.7065883044571
2021-10-04,6500.0,1250.0,0.7414586194231247,0.7168560097642591,2021,10,0,0,6502.0,7339.0,8644.0,7556.571428571428,8134.142857142857,813.0288754902725
2021-10-05,7598.0,1095.0,0.7676516688328334,0.7440771706845355,2021,10,1,0,6500.0,8583.0,9831.0,7415.857142857143,7974.642857142857,680.1535190850905
2021-10-06,7610.0,1101.0,0.7776444521002454,0.7532094483219528,2021,10,2,0,7598.0,8196.0,9645.0,7332.142857142857,7829.285714285715,599.3975944150079
2021-10-07,7372.0,1215.0,0.7836544883371005,0.753073273336801,2021,10,3,0,7610.0,7948.0,9274.0,7249.857142857143,7693.428571428572,537.0563063501794
2021-10-08,7092.0,1169.0,0.7741164593802173,0.7507380164447767,2021,10,4,0,7372.0,7829.0,8950.0,7144.571428571428,7560.714285714285,473.02109084159537
2021-10-09,6884.0,1065.0,0.7584267202312005,0.731069678662307,2021,10,5,1,7092.0,7338.0,8457.0,7079.714285714285,7448.357142857143,473.20387230233496
